id,date
762147609,06.06.18
759478604,31.05.18
722507879,14.01.18
111111132,23.04.17
696735702,10.10.17
787955075,17.09.18
790777028,28.09.18
778664280,13.08.18
770877978,10.07.18
770156851,18.07.18
758472954,23.05.18
795693029,22.10.18
774007496,23.08.16
774637726,16.07.18
111111133,19.11.18
729348908,19.03.16
697454736,12.10.17
730222442,12.02.18
999001970,14.12.18
793921939,12.10.18
766084411,21.06.18
698092698,10.10.17
999000675,05.11.18
729368012,09.02.18
727658675,02.02.18
999001033,01.11.18
718312499,28.12.17
788726416,21.09.18
729940206,07.06.18
778139122,07.08.18
727736557,02.02.18
999001621,29.11.18
111111131,12.06.18
758756657,23.05.18
763440871,11.06.18
724791253,22.01.18
754508491,17.07.19
769427494,01.09.19
700551604,01.08.17
758477392,23.05.18
776345502,02.08.18
752287274,01.05.18
786344683,22.11.16
727493378,01.02.18
773748383,23.07.18
727128296,31.01.18
727736595,02.02.18
694811415,03.10.17
795691173,18.10.18
771655795,20.02.18
111111124,18.09.18
740356006,20.03.18
999001032,31.10.18
759337941,15.04.19
697472447,12.10.17
761897089,05.06.18
730652769,14.02.18
763761219,13.06.18
